EC,all_ref_clu,know_ref_clu,new_ref_clu,new_clu_pro,all_clu_member,know_clu_member,new_clu_member,new_member_pro,sample_number,EC_1
1.1.1.62,32,0,32,100,9212,0,9212,100,322,1
1.1.1.64,9,0,9,100,2222,0,2222,100,300,1
1.1.1.65,10,0,10,100,1452,0,1452,100,289,1
1.1.1.67,3,0,3,100,2626,0,2626,100,288,1
1.1.1.8,7,0,7,100,2777,0,2777,100,307,1
1.1.1.81,13,0,13,100,2493,0,2493,100,310,1
1.1.1.82,1,1,0,0,4710,4710,0,0,313,1
1.1.1.83,3,1,2,66.66666667,5333,4613,720,13.5008438,324,1
1.1.1.85,103,67,36,34.95145631,43856,38796,5060,11.53775994,351,1
1.1.1.86,7,7,0,0,8200,8200,0,0,340,1
1.1.1.87,3,0,3,100,1784,0,1784,100,246,1
1.1.1.88,9,3,6,66.66666667,3752,1651,2101,55.99680171,316,1
1.1.1.9,7,0,7,100,518,0,518,100,184,1
1.1.1.90,4,1,3,75,1843,1219,624,33.85784048,296,1
1.1.1.94,21,12,9,42.85714286,13315,9408,3907,29.34284641,329,1
1.1.1.95,17,0,17,100,10918,0,10918,100,324,1
1.1.1.n12,2,0,2,100,6121,0,6121,100,317,1
1.1.2.4,2,0,2,100,7772,0,7772,100,324,1
1.1.2.6,1,0,1,100,13,0,13,100,13,1
1.1.2.7,89,2,87,97.75280899,3575,1844,1731,48.41958042,313,1
1.1.3.12,3,0,3,100,1117,0,1117,100,256,1
1.1.3.13,1,0,1,100,384,0,384,100,163,1
1.1.3.15,1,0,1,100,551,0,551,100,215,1
1.1.3.16,8,0,8,100,197,0,197,100,119,1
1.1.3.17,1,0,1,100,14,0,14,100,14,1
1.1.3.37,1,0,1,100,921,0,921,100,188,1
1.1.3.4,1,0,1,100,86,0,86,100,68,1
1.1.3.41,1,0,1,100,11,0,11,100,11,1
1.1.3.42,1,0,1,100,10,0,10,100,5,1
1.1.3.47,2,0,2,100,129,0,129,100,83,1
1.1.3.5,1,0,1,100,2,0,2,100,2,1
1.1.3.6,2,0,2,100,2216,0,2216,100,276,1
1.1.3.8,3,0,3,100,332,0,332,100,131,1
1.1.5.12,1,0,1,100,476,0,476,100,192,1
1.1.5.13,3,0,3,100,2479,0,2479,100,267,1
1.1.5.14,2,0,2,100,2270,0,2270,100,248,1
1.1.5.2,20,0,20,100,1315,0,1315,100,280,1
1.1.5.3,2,1,1,50,991,746,245,24.72250252,235,1
1.1.5.4,4,3,1,25,2346,2320,26,1.108269395,295,1
1.1.5.5,4,0,4,100,278,0,278,100,173,1
1.1.5.8,1,0,1,100,56,0,56,100,40,1
1.1.7.1,10,0,10,100,4288,0,4288,100,298,1
1.1.98.2,5,1,4,80,475,209,266,56,194,1
1.1.98.3,1,0,1,100,360,0,360,100,109,1
1.1.98.6,4,1,3,75,3185,26,3159,99.18367347,260,1
1.1.99.1,3,0,3,100,1570,0,1570,100,271,1
1.1.99.13,1,0,1,100,1670,0,1670,100,278,1
1.1.99.14,18,2,16,88.88888889,18361,8690,9671,52.67142313,333,1
1.1.99.2,3,1,2,66.66666667,7441,5276,2165,29.09555167,315,1
1.1.99.22,11,0,11,100,365,0,365,100,190,1
1.1.99.24,4,0,4,100,91,0,91,100,58,1
1.1.99.29,3,0,3,100,142,0,142,100,93,1
1.1.99.3,3,0,3,100,1656,0,1656,100,271,1
1.1.99.30,7,0,7,100,54,0,54,100,35,1
1.1.99.31,10,0,10,100,15952,0,15952,100,333,1
